2019-2020,2020-2021,2021-2022,2022-2023
468,938,621,111
278,461,353,92
160,556,342,67
132,552,331,61
88,448,308,124
88,665,382,113
90,575,277,59
127,850,495,153
154,761,421,54
100,291,513,47
176,592,548,68
110,470,444,56
102,435,408,116
122,709,754,128
94,483,441,76
90,567,510,75
111,729,525,116
141,1048,795,102
97,345,310,24
115,655,437,99
98,1137,711,78
88,403,426,56
132,494,533,65
92,713,346,62
280,736,658,56
248,664,566,75
284,1133,612,72
171,800,396,53
107,621,342,60
221,708,565,112
110,549,414,98
637,925,635,174
255,683,548,98
102,991,731,36
191,503,371,54
127,462,450,41
102,701,525,125
193,477,232,74
363,635,402,64
299,723,478,99
270,412,231,97
219,277,203,51
441,472,319,66
482,512,281,94
224,773,398,86
227,342,305,140
506,900,609,141
245,240,254,76
213,231,190,83
322,467,362,20
