index,inspector,citation_ward,n_citations
14,Edward Fernandez,1,1
38,Reginald Garrett,4,27
23,Ibrahim Okoe,5,1
33,Nathan Wilson,6,54
28,Marcello Siggers,7,7
16,Francisco Arroyo,11,2
17,Francisco Arroyo,12,1
32,Moeen Zahdan,13,2
37,Rafael Coreas,14,5
19,Francisco Arroyo,15,176
11,Donte Winston,16,91
12,Donte Winston,17,6
20,Francisco Arroyo,20,2
5,Curtis McDaniel,21,1
27,Manuel Heredia,22,2
0,Adam Corona,25,16
6,Cynthia Brown,26,1
21,Gary Thomas,28,13
43,Shawn Bradley,30,13
34,Orven  Rivera,31,1
40,Scott Jaburek,32,1
1,Alejandro Monzon,33,4
24,Kenneth Austin,34,1
25,Luis Pena,36,2
48,William Hohenadel,40,26
22,George Lawson,41,1
2,Anthony Coppolillo,42,1
29,Martin Casey,43,2
46,Thomas Kostrzeski,44,3
4,CHARLES SIKANICH,45,8
15,Erick Norton,47,1
8,Danny Murphy,49,32
30,Michael Hehn,50,1
