WARD,2019-2020,2020-2021,2021-2022,2022-2023
1,468,938,621,111
2,278,461,353,92
3,160,556,342,67
4,132,552,331,61
5,88,448,308,124
6,88,665,382,113
7,90,575,277,59
8,127,850,495,153
9,154,761,421,54
10,100,291,513,47
11,176,592,548,68
12,110,470,444,56
13,102,435,408,116
14,122,709,754,128
15,94,483,441,76
16,90,567,510,75
17,111,729,525,116
18,141,1048,795,102
19,97,345,310,24
20,115,655,437,99
21,98,1137,711,78
22,88,403,426,56
23,132,494,533,65
24,92,713,346,62
25,280,736,658,56
26,248,664,566,75
27,284,1133,612,72
28,171,800,396,53
29,107,621,342,60
30,221,708,565,112
31,110,549,414,98
32,637,925,635,174
33,255,683,548,98
34,102,991,731,36
35,191,503,371,54
36,127,462,450,41
37,102,701,525,125
38,193,477,232,74
39,363,635,402,64
40,299,723,478,99
41,270,412,231,97
42,219,277,203,51
43,441,472,319,66
44,482,512,281,94
45,224,773,398,86
46,227,342,305,140
47,506,900,609,141
48,245,240,254,76
49,213,231,190,83
50,322,467,362,20
